P38757	P38954
P53879	Q04418
P18239	P00549
Q08295	Q06204
P41808	Q12046
P07703	P32591
P22943	P08524
Q06679	P49687
P38989	P32494
Q08908	Q06235
Q08645	P38910
Q99247	P32591
P25631	Q06449
P20107	P38082
O13577	P0C5P5
Q03153	Q07807
Q01163	P40007
Q12252	Q12164
P20049	P20459
P11325	P41911
P50077	P07866
P43625	P40051
P53008	P32363
P00812	P26370
Q12362	P05317
P32463	Q12333
Q01574	P23060
Q03081	Q08649
Q05021	P48561
P52488	Q06178
P40583	P43583
P20049	P32375
P36037	P15732
P53172	Q08299
P36150	Q08905
Q02767	Q08144
P53128	P07284
Q04502	P40188
Q07478	P0CX53
P54114	P47042
P22203	P00950
P38806	P26793
P38809	Q05827
Q12443	Q99325
Q03784	P43557
P29509	Q03778
P35197	Q02979
P21825	Q12211
P16474	P32419
P38323	P54839
Q12189	P49166
P24871	P06782
P51979	P40537
P41733	P38221
P39721	P43562
P0CX55	P33416
P40506	P15454
Q12152	Q08119
P40985	P40087
P25296	P39677
P53583	P38126
Q05506	Q12136
P25567	P53255
P42936	P25372
Q08162	P40413
P43614	P16151
P31384	P40013
Q02336	P38827
P25693	P40494
Q08562	P30822
P47043	P48743
Q12275	Q03529
Q03103	Q00816
P38764	P21306
P32796	P32874
P10614	P42943
Q07928	P47818
P42940	P40581
Q07879	Q03151
P28584	P80210
P33332	Q12518
P09620	P40345
P17442	P14126
P28274	P38626
P07283	Q04651
P47158	P09938
P38248	P38337
Q07521	P31382
Q12078	Q12674
P38120	P32352
Q04533	P40079
Q12452	P53226
P36018	P23394
P53280	P06787
P27472	P21269
P20448	P38787
P0CX55	P34760
P35127	Q04344
Q04651	P38631
P30605	P53327
Q08992	P25377
Q06143	P38077
P38182	P48016
P40187	P38827
P30402	P53925
Q04493	P32634
Q03388	Q99257
Q12486	P15624
P47124	P53323
P25297	P36173
P39983	Q06201
P52491	P20434
P36516	P39959
Q08387	P32891
P15705	Q12522
P47976	Q04235
P32457	P46675
P25654	P53073
P08432	P40028
P38164	P07259
P38865	P39981
P32639	Q01477
P34164	P32775
P53916	Q12013
P53863	P38719
P22943	P38731
Q06706	P38711
Q12069	P32656
P19263	Q03862
Q00055	P33734
O13525	P14905
P53156	Q07653
P49723	P00925
P0CE00	P11972
P47181	P19881
P53276	P25567
P38239	P32565
P40560	P43593
P32354	P53088
Q12310	P20486
Q07729	P38620
P0C2J0	P61830
Q00955	P25454
P53333	Q08960
P38892	P33413
P14742	P25453
P39008	Q12167
P37254	P39692
Q08817	P35724
Q12173	P39943
P06169	P16140
P38176	P0CD91
Q05473	P36126
P07807	P38758
P33767	P38153
Q07350	P43551
P29029	P32803
P38427	Q08202
P02407	Q12024
P30283	Q07844
P50086	P25296
P35688	Q12285
P41815	P26263
P25375	P32622
Q12315	P53131
P48510	P13181
P89105	P53920
P36521	P53299
P32528	P04385
Q03778	P07256
P54115	P06208
P52892	Q12285
Q3E751	Q06159
P53912	P33748
P41815	Q02983
P10823	P38247
Q03920	P06197
P14540	Q12428
P39939	P43544
Q04121	P21965
P04051	P39924
Q03525	P53972
Q01649	P22209
P21826	P40462
P38221	P53220
Q06147	Q02979
P32333	Q02892
P43636	P09032
Q03020	P40012
P53049	Q08226
P39998	P16664
Q12382	P00572
Q06677	P29547
P04449	Q12509
Q03554	P38788
Q12690	P47019
P38218	P33751
Q12068	P38892
P53378	P00359
Q12158	P35691
P07286	Q12257
Q06698	P26637
P50110	Q04598
Q06252	P38235
Q12396	P36141
P07244	P20084
P45978	Q12149
Q08004	P39729
P36160	P49367
P07703	P10591
P38705	P36148
P46989	P38820
P32179	Q12524
Q07655	P36005
Q04749	P21243
P53065	P21243
Q12165	Q12032
P47048	P69852
P22516	Q03954
P47047	Q06224
P38813	P47018
P38086	P39924
P38804	Q12292
P36022	Q02776
P47185	P04051
P07263	P40010
Q02792	Q04636
P0CG63	P0CX61
P34219	Q12443
P23643	Q99220
Q05787	Q07963
P40152	P34221
Q12329	P0CE00
P38737	Q12165
P36527	P37898
Q12524	P07286
P36105	P42942
P05066	P23337
P25348	P16861
P32835	P06787
Q05123	P53378
P08678	P32833
Q12300	P38693
P32467	P21538
P22141	Q06839
Q12326	P25270
P36024	P07884
Q03554	P12684
P38116	P36054
P43620	P34761
P25596	P40569
Q08992	P49775
P53051	Q08959
Q12149	P40446
P00044	Q02486
P00912	P32341
Q12226	P47182
P35845	P38085
Q08929	P36052
P40151	P05755
Q12386	P46946
P47136	P38691
P40066	P32501
P39731	P0CD99
Q04432	P28240
P38145	P38972
P53009	P23254
P40164	P41338
P35191	Q12505
P32361	P33760
P06774	O13329
P53010	P12689
Q12032	P48360
P33416	Q03944
P09436	Q12136
P07280	P28274
Q12390	P53152
Q07551	P12611
P50095	P35845
P11484	P53112
Q03833	Q02710
P38720	P25372
Q08651	Q08558
Q3E7Y3	Q04225
P32419	P40558
P27616	P38150
P25293	Q05775
P31381	P43597
P53127	P40581
P20081	P11325
Q04533	P46969
Q12400	P07281
P23285	P32473
P09624	P37898
P04147	P00815
P41277	P05748
P53878	Q00955
Q08745	P32644
P40522	P22149
P53335	P07703
P46683	P25036
Q12374	P38288
P16120	Q03769
P11986	P43321
P36142	P50873
P38788	P53688
P41543	Q06815
P43132	P53335
Q03144	P33335
P32806	P38628
P36421	P38758
P24869	Q06032
P40185	P04076
Q04602	Q02792
O13577	A0A023PXL7
Q12486	P32781
P04173	Q00711
Q12390	P03965
P06704	P15367
P25087	P46680
P33331	P0CX49
P47075	Q08951
P53163	P33448
P38876	P46969
Q06162	P20676
Q03707	P53541
P52286	P35999
P32604	P40510
P53295	Q12220
P12954	P39970
P25294	P28778
P38361	P00572
P50276	P36029
Q04439	P24583
Q12116	P35190
P28321	P07884
P40561	Q03264
P53228	Q12296
P53166	P38323
Q03048	P40579
Q12275	Q00684
Q02326	P45818
P33328	Q04048
P36130	P53248
P04051	P25301
Q02749	P53249
P38333	P07244
Q07653	P0CG63
Q06408	P38695
Q3E830	P01119
P53541	P32581
Q99188	Q03125
P38348	P25847
P40553	P00358
P32804	P0CE68
P53204	P53319
Q12001	P38139
P35169	P20438
Q12257	P38628
P47176	P25348
P02994	Q00055
P07149	P41057
P13130	P0C5P6
P40857	P38696
P30771	Q06143
P47137	P12709
P53723	P53983
Q06551	P30620
P35731	P16862
P32496	P48526
Q12460	P13393
P38225	P25294
P09436	P02829
P09119	P32628
P39708	Q12265
P30771	P40352
P25644	P32767
P43590	P39726
P27616	P04803
P19659	P53065
P53633	Q12133
P38886	Q06706
P46367	P47141
P39540	P26798
Q12032	P41818
P33753	P36010
P00937	P32795
Q08581	P53159
P28274	P25847
Q07457	P53172
Q12288	P38876
P06773	P32842
P89495	O13557
P05738	Q02199
O13585	P19097
P38221	P53335
P40047	P38286
P00163	P36973
P47103	P32628
P38165	P13574
P14832	P40994
P32910	P03962
P10659	Q12288
Q04228	P53173
P33303	P40552
P36123	P32288
P39976	P32795
P39107	P17119
P07884	P53259
P53549	P33760
P53136	Q02792
P25270	P38767
P25302	P36047
Q05788	P38331
P34072	P09457
P38285	P09932
P39936	P50085
Q99393	P40463
Q12142	P32563
P35842	P32833
P40150	P39744
P53090	Q12288
Q08685	P53877
P38719	P38760
P53741	Q12389
Q03796	P47119
P0CX41	P38625
Q04516	P11353
P80235	P50085
Q07786	P23585
P32266	P36108
Q12125	P39982
P38272	P07260
P28000	Q12449
P32497	P0CX41
P22023	P60010
P21243	P08524
P53874	P15565
P43637	P40530
P43535	Q12041
Q12496	P38263
P50094	P12685
Q08754	P39081
Q12486	P39965
P25639	P43613
P23638	P41921
P48164	P53043
P21306	P53239
Q12165	P53167
P39522	P38301
Q07804	P19073
P36121	P48240
P42841	Q05040
P35718	P12709
P47039	P38734
P48362	P38708
P41909	P39925
P40529	P41816
Q06449	O43137
Q12412	P36005
P25441	Q08924
Q03148	P47158
Q04373	P38632
P18562	P38786
P34218	P43550
Q12041	P36035
Q12329	P06633
Q12322	P20448
Q06170	P40035
Q04264	P49955
Q02979	P32802
P40504	P27810
Q05946	P20676
P20048	P32775
P19263	Q06168
P40562	P40468
P40209	Q08902
Q12039	Q02608
P13186	P36516
P25569	P40024
P32494	P39956
P32854	P39980
P32469	P15625
P10659	P06634
Q02629	Q04177
P25846	P26754
P53164	P53206
Q12184	Q08237
Q06146	P00927
P36022	Q06596
P38141	P20967
P49334	P36525
P38687	P22141
P54862	P42826
P32907	Q99188
P53008	P0CX31
P04147	P20437
Q08023	P33322
P24280	P40010
Q12362	Q12288
P32340	Q06405
Q03730	P25635
P38701	Q06698
P53096	P32522
P53311	P00127
P40364	P28273
Q08992	Q6Q547
P32770	P21243
Q02792	P38811
P22133	P40169
P32491	D6VTK4
P22216	P51534
P50082	P23643
P32473	P38143
P47148	P47771
P07251	P39998
P22696	Q05521
P26448	P38182
Q12100	P39517
P46969	P23724
Q07949	P18239
P00044	Q02647
P40013	Q04493
P07244	P14843
Q07786	P07285
P53598	P19158
P11484	P35169
Q03088	P07259
Q08387	P10592
P04802	Q12429
Q99271	P33335
P14906	P36017
P38804	P38892
P25627	Q03660
Q07992	P38283
P03881	P33734
P53184	P00359
P36521	P49686
P02557	P05318
Q01662	P38082
P53271	P43621
P07283	P25296
P38113	Q03148
Q03654	Q04264
P51401	P53235
Q12680	P32191
Q12114	Q08773
Q06680	P41910
Q12344	P47976
Q08923	Q06488
P40893	P39924
P03879	Q06525
Q06698	P53256
P53187	P33413
Q02767	P22149
P47085	P38884
P20081	P43613
Q03104	P53329
P53848	P15019
P12687	Q02883
Q07825	P48445
P50101	Q08951
P49095	Q07825
Q6Q547	Q02889
Q06199	P06782
Q12145	P53115
Q06108	Q06412
P40029	P04803
Q02455	P42948
Q04921	Q12134
P53295	Q02555
P53968	P15731
P26321	Q04212
Q05926	P00560
P03876	P08518
P32902	Q12398
P16387	P34161
P13856	Q08484
P46673	P31244
P19454	P32336
Q03338	Q07963
P41819	P52911
P25555	Q00246
P39523	P39935
P36095	P36026
P39112	P47054
P31109	P33442
Q06510	Q06567
P36005	P32588
P0CS90	Q02608
P06115	P03877
P05373	P39016
Q08208	Q08920
P10363	P32345
Q04471	P38197
P53920	Q12093
Q06506	P40413
P43635	P39721
P42944	Q05123
Q99344	P16120
P38816	P36159
P07256	Q01852
P53622	P15938
P07248	P39710
P00931	Q06440
Q04487	P0CS90
P32916	P35197
P33308	Q03406
P25348	Q12189
P14908	Q9ZZW7
P24783	P08465
P21538	P48353
Q12458	P33297
Q04179	P48567
P07263	P38759
P53878	Q06010
P26448	P36101
P46997	P38143
P08524	Q02981
P47169	P53010
P17121	P40072
P40185	P52923
P23585	P25039
P53077	P35169
P31688	P22148
P16474	P40851
P24583	P27514
P40459	P46672
Q12389	P38689
P38251	P20437
Q12377	Q3E757
P46784	P50094
P12685	P11325
Q04370	Q12255
P43547	P41338
P28584	P40505
P46956	P38708
P53959	P39958
P04710	P06103
P25594	P16451
P13712	P38689
P08456	P28777
P53035	Q07993
P34220	P25515
Q02979	P40071
Q12189	P33442
Q08023	P52918
P33767	Q12389
P00942	Q12213
P38793	P06103
P32445	P06102
P32474	P32875
P39954	Q12322
Q02948	P36158
Q12055	Q02792
Q06676	P40566
P38304	Q03654
P35172	P60010
P40480	P32354
Q12325	Q3E826
P32600	P33203
Q03280	P48582
Q12522	P36973
P40335	P20449
P36421	Q12024
P32490	P42937
P22936	Q06683
P53206	P40042
P38086	P39517
P38690	P53294
P54839	P07170
P39081	P30771
P53839	Q10740
P25382	P32264
P36008	P38230
Q12090	Q12093
P39939	Q01560
P53188	P31386
P43610	P22543
P38891	Q00055
Q12306	P50086
P32496	P15180
Q03796	P40339
P40564	P32860
P53863	P28274
P40009	P00546
P38340	P11076
P49167	Q12496
Q06406	P53622
P21965	P36143
P26793	P00447
P40422	P47017
P23638	P33748
Q02793	P53238
P23291	P40994
P37298	Q3E7B2
P38902	P38089
Q3E705	Q03063
Q3E752	P38768
P53968	P48510
P03878	P47156
P14120	P25586
P36060	P53889
Q12086	Q12158
P32597	Q12083
P15424	P34760
P06781	P50623
Q03941	Q05902
P32366	P20795
Q05931	P53978
P32479	P32337
Q07980	P50085
P33336	P29469
P53900	Q01389
P40303	Q03862
P10962	P47111
Q08193	Q08912
P32600	P53036
P40012	P20434
Q12213	Q3E737
P53687	P11484
P32074	P49687
Q12690	Q6Q547
P32568	Q03529
Q00955	P38181
Q06217	Q02875
P50101	Q04500
P21965	P38262
P14772	P38359
Q07794	P25373
P38063	P28007
Q12361	Q00816
Q03002	P08018
P40012	P53752
Q03214	P32048
Q12234	P16664
P15624	Q08919
P38989	P40562
P09798	P40335
P46946	Q06142
P52923	P07259
P33734	Q99258
P08679	P09435
P49367	P54114
P0CX23	Q04305
P38873	P39523
P27514	P13663
P21801	P53100
P19735	P53201
P53115	P25293
P32471	P53201
P33202	P16474
P53390	P38116
P36076	P38816
P38066	P32465
P52286	P33312
P43535	P54785
P08431	P15454
P39079	P16370
Q01217	P53969
Q08951	Q12229
P38786	P53834
P02309	Q00055
P0CS90	P39678
P41058	P00163
Q04002	P26449
P36006	P53086
P19158	P38696
P09436	P20448
P38111	P54787
P25368	Q12362
P38889	Q03180
P22515	P12887
P06174	P38221
P29055	Q04600
P25378	P23561
P53315	P42938
P50086	P32589
P05030	P09435
P53177	P53923
Q12122	Q03029
Q12347	O13563
Q03330	P52488
P16523	P00942
P47137	P53868
Q8TGS4	P28320
P40962	Q04116
P43570	Q04183
P38174	P19358
P28272	P18408
Q08230	P32839
P38876	P07884
P06704	Q03785
P32829	P33312
Q12050	P36096
Q04006	P41819
P20133	P47154
P38146	P48582
P38934	P05317
P18900	Q03796
P40029	P40032
P38759	Q99210
P38930	P39995
P24871	P12887
P06700	Q03554
P06838	P39967
P23797	Q04869
P21827	Q12102
P36035	P00498
P00431	P36033
Q04867	P40080
P35192	P40202
Q12480	Q12458
P53438	P23250
Q04902	P16547
P40024	P32770
P04817	P32628
P38231	P37261
P33322	P32454
P05748	P40069
P38262	P32524
P38827	P38128
P38811	P07244
Q05583	P46948
P15565	Q03823
P52490	P30620
P07259	P51996
P26449	P23724
P36143	P53170
P40856	P50275
P00175	Q99252
P54003	P36068
P38788	P87262
Q08204	P54860
P09959	Q12152
P38631	P47077
P10823	P38148
P09457	P35195
P54867	Q08219
Q08907	P31386
Q12254	P06785
P46784	P29703
P38812	Q07729
P27692	Q12035
Q04430	Q08422
P41338	P53900
P38853	P23292
Q01080	P39533
P53332	P04807
P18494	P33335
P48567	P18962
P53236	Q08689
P53312	O13529
P39742	P46964
P32342	P57743
P40064	P27692
P50861	Q03554
P13298	P23833
Q07478	P53742
P04387	P32340
P36532	Q07914
P20449	P14737
P20050	P47103
Q03049	P42826
P50861	P06738
Q02455	P39009
P25491	P07806
P32559	P52920
P13045	P35196
Q06338	P38301
P32604	Q02896
P25719	Q06549
P0C0W1	P37263
Q12149	P32828
Q12008	P53925
P36008	P0C5L1
P32842	P22135
P22543	P40359
Q12226	Q07824
Q06451	Q03640
D6W196	P04840
P47093	Q04121
P36014	Q04179
P38064	P47173
P29340	P39990
P53924	Q12317
P08566	P21524
P0C0X0	P53718
P36005	P28737
P43589	Q08723
Q03048	Q12373
Q05863	Q12211
Q03429	P36532
P36064	Q04401
P04912	P38042
P08456	P47044
P39925	P38353
P10862	P33202
P32785	P23503
P25578	Q03778
P10592	P40482
P16140	Q01939
P38069	Q07468
P14737	P53130
P53599	P40970
P19145	Q05670
P03962	Q12136
P32375	P13663
P08417	P25349
P53840	P32835
P35209	Q03433
P38629	P53187
P11075	P36116
P31116	P15367
Q12499	P00927
P39522	P38616
P53942	P38361
P41696	P32598
Q06204	P53969
P30624	P10823
P40072	P25638
P32497	P28272
Q12009	Q12447
P53010	P38197
P33330	P07244
P36172	P12695
P49955	P11745
P39713	P38182
Q99321	P53893
P12687	P49166
P22133	P53172
P39929	P00546
P20095	P33308
Q06685	Q02336
P54114	P32589
P32795	P00937
P28274	P05319
P40362	P38627
Q05785	P53278
P46674	P07250
P25087	P38340
P10127	P41911
P16451	P00815
P40318	P53115
Q03735	P18900
P35196	P40825
P33315	P38325
P53734	Q04048
P52893	P20435
P04819	P25578
Q06001	P05759
P37299	P17695
P39994	P32579
P54862	P38179
P19881	P00958
P17442	P38430
P05453	P43589
P39932	Q12407
Q04958	Q12222
P33322	Q12178
P40693	Q06390
P53309	P27895
P46997	P25719
P06738	P26263
P16370	P08018
Q03503	P36116
P52892	P38635
P38359	P53049
P20484	Q03653
P34761	P06784
P53152	Q08214
P53283	P32897
P53912	P53925
P25343	P08458
P39077	P16140
P38773	P40099
P53093	Q06709
P40054	Q07500
P38137	P00549
P33317	P0CX51
P48567	Q03640
P04911	P32266
Q06344	Q05942
P06704	Q08963
P53070	P36165
P25302	P41695
P39990	P46947
P00937	P40480
P32342	Q06511
P46681	Q00711
Q6Q546	Q03772
P36533	P38145
P25298	Q06178
P38197	Q9URQ3
Q08032	P47134
P53104	P21965
P14680	P23394
P40302	P00931
Q06053	P00931
P53264	P00572
P47181	P23337
P07260	Q04116
P41895	P38629
P38775	P47104
P36024	P32375
P46946	P32828
Q06596	P33297
P41810	Q07655
P38714	P39079
P40961	P12695
O94085	Q12213
P19358	Q03219
P38865	P53093
Q06466	P38200
Q12446	Q06839
Q12355	P38288
P28321	P38122
P25301	P36008
P26570	P53233
Q01329	P46675
P10592	P53970
P32487	P02406
Q06053	P36008
P40071	P53337
P02294	Q06567
P40075	Q06147
P38165	P14737
Q03921	P39077
P32345	P28584
P47185	P53894
P00942	P53378
P0CX23	P36973
P38142	P32327
Q99181	Q04636
P12383	Q04922
P40413	P21538
P16639	P39006
P16892	P09733
P53944	Q01926
Q08387	P54791
Q12000	P33299
P39932	P43574
P38262	P50101
P32263	Q02959
P36521	P00359
P53378	P36516
Q12407	Q07928
P40509	P05375
P39933	P53551
P37292	Q12184
P32943	P53871
Q01802	P32190
P53551	P53604
Q04958	P25042
P32785	Q05521
P14832	Q02642
Q12329	Q03180
P43593	P53165
P19211	P38922
P07884	P36521
P07258	P21951
Q12083	P00899
P15565	P43586
P07256	P39003
P48237	P38889
P38741	P31111
Q10740	P27614
P37838	P04911
P22276	P42833
P37370	P40072
P38816	P53848
P05030	P40472
P33327	Q07729
Q04162	P26449
Q2V2P7	O43137
P46963	P40072
P00447	P53090
P04147	P14681
P40495	Q12455
P43558	P54860
P25651	Q02208
P36017	P48566
P35190	Q02630
P39960	P40160
P29366	P39112
P46961	P53142
Q06406	Q12349
P53313	P53742
P32386	Q07549
Q08204	Q12306
P33298	P38348
P15496	P53040
P34237	Q08490
P22209	P69771
P22289	P25087
P46989	Q03730
P38801	P53934
P43563	P53894
P47017	P53965
P39968	P42836
Q07953	Q07953
Q04228	Q04228
P47154	Q12445
P38842	P38992
P17157	Q03063
P38822	P39938
P45976	Q12102
P32366	P47041
P40303	P40303
P39940	Q07549
P10614	Q12168
P29366	P39969
P00927	Q08907
P10614	P38992
P38934	Q06208
P38871	P40014
P48236	P53878
P53176	Q07376
P33297	Q01939
P48524	Q12374
P38080	P49957
P47175	P69852
P05626	P46677
P0CX63	Q12260
P36224	P40014
P38072	P38729
P19955	P35193
P19735	P32639
P39678	P40014
P33314	P40476
P27637	P40460
P32364	Q03088
Q06704	Q06704
P39977	Q05948
P38822	P53934
P04449	Q12080
P39743	P53153
P26793	P32366
P38307	Q02574
P28707	P32569
P38759	P38759
P20676	P32864
P19880	P22149
P38084	Q12270
P39955	Q08204
Q02516	Q02794
P33327	Q12181
Q03010	Q07979
P15992	Q07732
P36027	Q12335
P00546	Q03834
P53549	Q06410
P0CD97	Q08980
P17255	P39111
P07866	P40567
P06244	P41910
P24279	P53886
P38692	Q02732
P0CX92	P21560
P06102	Q06568
P38316	Q04969
P32502	Q07923
P23542	P28274
P22204	P42946
P22137	Q12271
P39540	P39540
P33331	P40008
Q05521	Q06815
P51601	P51601
P32389	P39014
P33895	Q02732
Q12309	Q12417
P20095	Q02521
P19807	P40474
P39520	Q08673
P0CX23	P24869
Q02336	Q02939
Q03769	Q03769
P39970	P41832
P15315	Q02209
Q05902	Q08280
P39929	P47069
P00927	Q12163
P16661	Q06538
Q03944	Q04264
P11632	Q01080
P38720	Q02724
P39946	P47149
P32912	Q06596
P40362	Q02354
P32502	Q99288
P33421	P37298
P00546	P24870
P00546	Q06001
P40537	P54115
P21825	Q04969
Q06523	Q12495
P53038	P53038
P19807	Q12256
Q06410	Q12493
P02829	P0CE00
P30605	Q02785
P34216	P39013
P38821	P38821
Q02724	Q03860
P06777	P39735
P39109	Q03048
P34163	P34163
P16892	P16892
P05986	P05986
P53390	Q08967
P00128	P53168
P35817	Q03012
Q05031	Q12349
P06784	P06784
O13329	P17123
Q03012	Q08581
P36080	P38785
P21374	Q03654
P12612	Q03063
P50623	P50623
P32867	P33328
P25847	Q05471
P38439	P53064
P38773	P43582
P36116	P38165
P32776	Q03290
P40061	Q03935
Q00578	Q03290
P14832	P40537
P34216	P53270
P40350	P46965
P40161	P40161
P32903	P49018
P36080	P43586
P40515	P40515
P50111	Q06648
Q02630	Q06159
P33297	Q03322
P48558	Q08234
P25623	P47161
P32604	P40070
P36139	P40518
P32471	P36008
Q03630	Q03784
P49334	Q02574
P39940	P43602
Q05080	Q12446
P19807	Q06170
P38768	Q12499
P46961	Q12136
P41811	P41811
Q12344	Q12411
P38616	Q12116
P35732	P40070
P04387	Q00723
P23201	Q12317
P25344	P36162
P05986	P07278
P32558	P43639
P22803	P40029
P80667	Q12168
P38842	P40548
P31376	P38705
P40318	Q04458
P35817	P40969
P04821	Q03373
P25389	P34244
P32569	Q12124
Q03640	Q12466
O94085	P25627
P40314	P46984
P46965	Q08227
Q02205	Q07549
P40070	P53622
P40161	Q04429
P17157	P40186
P38957	P40465
P25302	Q00772
P22209	P39929
P43588	Q06103
P47057	Q06410
P54783	Q08926
P39969	Q12365
P05085	P32450
Q12078	Q92331
P08964	Q12374
P38313	P39731
P34237	P47057
P09032	P09064
P40073	Q07454
P54790	P54791
P32457	Q04477
P38727	P38822
P37370	P40518
Q05518	Q07530
P35732	P53010
P38785	P50111
P48836	P53691
P10823	Q07651
P40350	Q03655
P43572	P80428
P29366	P33200
P22215	P25297
P40554	Q02821
P38264	P41800
P40885	P47187
P19807	Q03640
Q03063	Q03373
P33307	P43603
P53823	P53824
P46989	Q12270
P32345	P38193
P34230	P40582
P18480	P32591
P49018	P53174
P43555	Q12396
P27999	P32859
P46679	Q08182
P36076	P36076
Q04477	Q06324
P39523	P39969
P32598	P43587
P42943	P60010
P40079	P40362
P35723	P39540
P40014	P43614
P00546	P38991
P36103	P39013
P54858	Q03860
P11745	Q00402
P30605	P50276
P38123	P38827
P34237	P46677
P35735	P40485
P53040	Q12044
P08468	P34078
P29055	Q04869
P38928	Q03322
P06700	P11978
Q03388	Q12692
P32457	P53104
P32366	Q02794
P40202	P40202
P35691	Q02724
P40043	Q02724
P22149	P40574
P23202	Q02866
P06102	Q07978
Q03655	Q04697
P38264	P53176
P38821	P38987
P42941	Q12297
P32908	P39013
P06103	P39730
P38236	Q12280
P43544	Q03148
P14832	Q02724
P12753	Q04477
P25626	P53724
P38753	Q00955
P47142	Q12483
P32485	P48361
P27999	P40097
Q03818	Q12380
P36126	Q12527
P32569	P38930
P32598	P38258
P40326	Q12330
P53728	Q03687
P40045	P87287
P33767	Q12450
Q02574	Q08270
P31376	P40574
P09620	P32319
P25623	P32793
P40159	Q12305
P43603	Q04749
P25376	P35723
P0CX13	P38079
P38822	P40460
P25302	Q12080
P38236	P89105
P29055	P53829
P30605	Q12230
P47074	Q12334
P25344	P25344
Q04461	Q04461
P28000	P32364
P40003	P46679
P32445	Q06630
P47093	P53742
P18898	P29703
P20438	P21268
P11484	P32386
P32354	P38132
P36022	Q01649
P39008	P53829
P25594	P52891
Q04697	Q08986
P39077	Q12510
P20676	P32767
P11632	Q02724
P21242	P22141
P12868	Q07468
P22696	P39683
P80428	Q08649
P25344	Q12262
P47068	P53933
P80428	Q03435
P40485	Q07651
P53050	Q02821
P00546	P52919
P40054	P49686
